url,Locality,Type of property,Subtype of property,Price,Type of Transaction,Nº rooms,Living area,Equipped kitchen,Furnished,Fireplace,Terrace,Area Terrace,Land Surface,Nº facades,Swimming Pool,State Building,Garden,Area Garden
https://www.immoweb.be/en/classified/apartment/for-sale/gent%20sint-denijs-westrem/9051/10669125,Gent,APARTMENT,APARTMENT,325000.0,FOR_SALE,2.0,,Yes,No,No,Yes,15.0,,2.0,No,TO_BE_DONE_UP,,,
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10670349,Woluwe-St-Lambert,APARTMENT,APARTMENT,385000.0,FOR_SALE,2.0,,Yes,No,No,Yes,10.0,,2.0,No,JUST_RENOVATED,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/embourg/4053/10611828,Embourg,APARTMENT,PENTHOUSE,399000.0,FOR_SALE,3.0,,Yes,No,No,Yes,20.0,,3.0,No,GOOD,,,
https://www.immoweb.be/en/classified/apartment/for-sale/embourg/4053/10611827,Embourg,APARTMENT,APARTMENT,399000.0,FOR_SALE,3.0,,Yes,No,No,Yes,20.0,,3.0,No,GOOD,,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10668885,Antwerpen,APARTMENT,APARTMENT,425000.0,FOR_SALE,3.0,,Yes,No,No,Yes,10.0,,2.0,No,GOOD,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/10670895,Watermael-Boitsfort,APARTMENT,PENTHOUSE,595000.0,FOR_SALE,3.0,,Yes,No,No,Yes,15.0,,2.0,No,GOOD,,,
https://www.immoweb.be/en/classified/loft/for-sale/brussels%20city/1000/10588500,Ternat,APARTMENT,LOFT,1250000.0,FOR_SALE,3.0,,Yes,No,No,Yes,114.0,,4.0,No,AS_NEW,,,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10675358,Anderlecht,APARTMENT,APARTMENT,180000.0,FOR_SALE,1.0,,Yes,No,No,,,,2.0,No,TO_BE_DONE_UP,,,
https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/10675329,Woluwe-St-Lambert,APARTMENT,APARTMENT,230000.0,FOR_SALE,3.0,,Yes,No,No,Yes,8.0,,2.0,No,TO_BE_DONE_UP,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/10676485,Auderghem,APARTMENT,PENTHOUSE,309000.0,FOR_SALE,1.0,,Yes,No,No,,,,3.0,No,AS_NEW,,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10676483,Auderghem,APARTMENT,APARTMENT,349000.0,FOR_SALE,2.0,,Yes,No,No,Yes,5.0,,3.0,No,AS_NEW,,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10676484,Auderghem,APARTMENT,APARTMENT,350000.0,FOR_SALE,2.0,,Yes,No,No,Yes,9.0,,3.0,No,AS_NEW,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/10676496,Auderghem,APARTMENT,PENTHOUSE,390000.0,FOR_SALE,2.0,,Yes,No,No,Yes,8.0,,4.0,No,AS_NEW,,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10676501,Auderghem,APARTMENT,APARTMENT,746000.0,FOR_SALE,3.0,,Yes,No,No,Yes,14.0,,4.0,No,AS_NEW,,,
https://www.immoweb.be/en/classified/duplex/for-sale/woluwe-saint-pierre/1150/10675409,Woluwe-Saint-Lambert,APARTMENT,DUPLEX,1095000.0,FOR_SALE,5.0,,Yes,No,No,Yes,15.0,,2.0,No,AS_NEW,,,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10668584,Berchem-Sainte-Agathe,APARTMENT,APARTMENT,129000.0,FOR_SALE,1.0,,Yes,No,No,Yes,10.0,,2.0,No,GOOD,,,
